Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
Amazing Encounters & Quests,https://www.kickstarter.com/projects/czrpg/amazing-encounters-and-quests?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,2000.0,20041.0,1002,31,54,134,500,0,58,1,1
LIVES AT STEAK,https://www.kickstarter.com/projects/livesatsteak/lives-at-steak?ref=discovery_ending_soon,Film & Video,Shorts,UK,GBP,9000.0,5231.0,58,30,49,75,230,0,26,1,0
'All dogs go to heaven' enamel pin badges,https://www.kickstarter.com/projects/gaming4all/all-dogs-go-to-heaven-enamel-pin-badges?ref=discovery_ending_soon,Art,Digital Art,UK,GBP,1000.0,35.0,3,30,54,58,225,0,15,0,0
DnD 5e One Shots of Ethelon Vol 3 - Ancient Temples!,https://www.kickstarter.com/projects/954827520/dnd-5e-one-shots-of-ethelon-vol-3-ancient-temples?ref=discovery_ending_soon,Games,Tabletop Games,Greece,EUR,400.0,2870.0,717,30,55,133,275,0,27,0,1
Katy Lee's Story Haven Writers' Retreats for Women,https://www.kickstarter.com/projects/storyhavenlodge/katy-lees-story-haven-writers-retreats-for-women?ref=discovery_ending_soon,Publishing,Literary Spaces,USA,USD,1000.0,1181.0,118,35,55,129,1434,0,25,1,1
About Turn!,https://www.kickstarter.com/projects/sproutandgherkin/about-turn?ref=discovery_ending_soon,Games,Playing Cards,UK,GBP,500.0,1078.0,215,30,55,109,448,0,18,1,1
REPLENISH: An Automated Produce Stand,https://www.kickstarter.com/projects/bringhtline/replenish-an-automated-produce-stand?ref=discovery_ending_soon,Technology,Hardware,USA,USD,7000.0,1092.0,15,45,54,119,325,0,7,1,0
One Page Space,https://www.kickstarter.com/projects/bizgames/one-page-space?ref=discovery_ending_soon,Games,Tabletop Games,Ukraine,USD,1000.0,1915.9,191,28,55,114,250,0,24,1,1
The Lost Forest: Tarot 3RD EDITION,https://www.kickstarter.com/projects/thelostforest/the-lost-forest-tarot-3rd-edition?ref=discovery_ending_soon,Art,Illustration,USA,USD,25000.0,29373.0,117,30,55,66,611,0,38,1,1
Proud to Bee me- Hard Enamel Pride Pins,https://www.kickstarter.com/projects/jessieinkswell/proud-to-bee-me-hard-enamel-pride-pins?ref=discovery_ending_soon,Fashion,Jewelry,UK,GBP,460.0,904.0,196,35,52,133,1950,0,18,0,1
Quests of Mirstone - A Fantasy Anthology,https://www.kickstarter.com/projects/richardfierce/quests-of-mirstone-a-fantasy-anthology?ref=discovery_ending_soon,Publishing,Fiction,USA,USD,500.0,1432.0,286,17,52,41,170,0,32,1,1
♡ Chubby Seals Collection ♡ - Hard enamel pins & stickers,https://www.kickstarter.com/projects/337247485/chubby-seals-collection-hard-enamel-pins-and-stickers?ref=discovery_ending_soon,none,Art,Spain,EUR,200.0,158.0,79,30,53,34,216,0,27,0,0
LIFESIZE 1:1 DINOSAUR PRINTS! physical + digital,https://www.kickstarter.com/projects/limelightminiatures/lifesize-1-1-dinosaur-prints-stl-models-to-print-at-home?ref=discovery_ending_soon,Games,Tabletop Games,UK,GBP,2400.0,3029.0,126,25,52,118,94,0,57,1,1
The Slade Ham Comedy Special | SIGNAL/NOISE,https://www.kickstarter.com/projects/sladeham/the-slade-ham-comedy-special-signal-noise?ref=discovery_ending_soon,Film & Video,Comedy,USA,USD,13500.0,12480.99,92,31,53,96,527,0,11,1,0
